Retention Time (min),Van der Waals Radius (pm),HOMO Energy (eV),LUMO Energy (eV),Redox Potential (V),Molecular Weight (g/mol),Polarizability,pKa,Number of Benzene Rings
17.52,175.6,-10.82,1.22,1.25,303.2,0.94,9.98,3
6.23,167.2,-5.75,-2.35,1.39,430.9,6.89,10.19,3
4.34,213.2,-8.15,-0.8,-0.79,238.2,7.96,7.98,1
15.85,170.6,-7.02,0.54,0.73,390.6,2.69,10.42,3
14.79,191.8,-5.71,0.65,-1.52,205.2,2.12,12.39,1
3.05,160.9,-9.17,-2.64,-0.45,410.0,8.09,8.95,4
10.53,233.1,-5.63,0.56,-1.11,504.7,4.93,13.21,4
17.98,184.8,-10.83,0.13,-1.02,413.5,1.3,7.84,4
9.06,235.4,-9.32,-1.26,1.86,448.8,6.0,9.34,4
5.22,234.8,-6.13,-1.48,-1.86,145.5,7.38,6.66,1
14.19,213.8,-5.88,-2.85,0.2,426.4,2.68,7.71,3
5.33,182.2,-5.33,-1.04,0.55,370.0,7.32,10.56,3
18.25,198.1,-9.18,-1.47,-0.66,110.3,0.39,13.98,1
8.96,133.3,-6.32,-0.84,-1.03,437.1,5.97,0.67,4
10.27,237.9,-5.09,0.54,1.19,267.2,5.12,7.66,2
14.2,229.0,-7.84,-2.27,-1.32,542.2,2.8,5.73,4
7.83,218.1,-9.48,-0.6,0.6,237.0,6.75,13.01,2
18.9,103.8,-10.77,0.96,2.0,216.5,0.86,2.17,1
6.19,129.2,-6.44,-1.76,1.35,127.1,8.11,11.53,1
19.35,237.5,-10.17,1.32,-0.31,396.7,0.77,1.83,3
8.38,221.4,-8.68,1.66,0.73,134.6,6.43,10.82,1
15.83,226.9,-9.14,-2.44,0.35,416.0,1.76,12.5,3
16.39,160.7,-8.5,-2.42,0.61,281.8,1.24,10.45,2
12.8,138.5,-5.56,0.23,-0.75,334.0,3.97,13.29,2
16.43,233.6,-8.44,-0.41,0.02,116.9,1.56,8.4,1
12.22,155.9,-5.52,1.52,-1.69,129.2,3.86,3.93,1
12.44,144.8,-6.17,1.01,-1.07,415.2,3.82,12.14,3
3.67,145.1,-9.27,-0.49,-0.4,451.1,7.79,10.5,4
17.92,232.4,-9.09,-2.66,-1.37,411.4,0.73,11.74,4
3.93,126.5,-8.78,-2.51,-1.36,305.8,7.77,7.41,2
10.6,224.9,-7.37,-0.76,-1.29,321.2,4.78,11.79,3
7.05,171.6,-6.96,-1.48,0.21,218.8,6.7,1.61,2
6.48,139.2,-5.17,1.72,-0.19,375.9,7.2,12.87,3
4.22,187.6,-5.44,0.33,0.49,462.4,7.1,3.16,4
11.41,141.8,-7.33,-1.65,1.92,126.9,4.75,11.0,1
17.05,177.2,-10.72,-1.22,0.43,300.9,1.5,0.01,2
10.44,192.1,-7.73,-2.6,-1.1,162.9,5.03,13.02,1
7.84,187.5,-8.58,-1.75,-0.94,203.1,5.79,13.32,1
18.62,222.4,-7.73,-1.41,-1.21,158.0,1.25,13.11,1
3.54,192.8,-10.76,0.21,1.11,524.1,8.05,7.68,4
10.13,133.1,-5.03,-2.14,-0.01,186.5,5.26,2.48,1
15.47,144.2,-10.66,0.39,-1.55,222.0,2.29,1.05,1
18.06,160.3,-9.36,-2.41,1.49,294.3,0.1,8.71,2
18.63,215.4,-10.57,1.47,-0.42,454.9,0.3,7.47,4
3.13,235.6,-7.71,0.13,0.44,258.8,8.05,6.61,2
11.27,103.7,-8.89,-0.11,1.9,321.3,4.66,1.43,2
5.02,249.0,-8.75,-2.06,0.33,105.4,7.22,12.24,1
4.37,173.7,-6.26,0.7,0.03,326.8,7.9,10.19,3
17.45,119.8,-5.58,-1.82,1.63,394.8,1.73,12.24,3
8.01,184.8,-10.01,0.99,1.58,211.8,6.37,5.46,1
3.02,168.8,-9.33,0.89,-0.18,328.0,8.6,8.63,2
5.15,107.4,-8.16,1.7,0.73,515.9,7.24,6.71,4
8.24,186.6,-10.32,0.91,0.71,547.2,6.0,13.76,4
13.34,239.7,-8.68,-1.18,-0.81,238.1,3.67,5.46,1
12.86,170.9,-9.19,-0.45,-1.35,363.7,4.41,11.42,3
18.57,134.4,-5.47,0.13,0.28,518.5,0.97,8.26,4
6.99,200.6,-9.81,-1.66,-1.86,245.1,6.15,4.4,2
8.55,140.1,-6.67,1.0,1.29,539.4,5.22,5.77,4
6.38,237.3,-9.7,-1.35,1.04,249.6,7.28,4.93,1
3.22,171.6,-7.25,-2.35,0.84,510.5,8.5,10.71,4
19.26,217.7,-7.51,-2.7,1.71,150.8,0.62,9.33,1
2.82,107.4,-8.25,0.3,1.83,344.5,9.19,1.63,2
9.98,209.9,-6.1,-1.68,-0.13,407.1,4.83,10.83,4
11.83,122.2,-9.66,1.26,0.7,262.1,3.36,6.46,2
14.3,132.7,-8.14,0.86,1.9,477.0,3.71,4.57,4
6.17,229.2,-5.11,-2.42,1.41,377.7,7.25,5.23,3
10.81,118.6,-9.9,-0.22,0.62,234.5,3.92,1.82,2
8.37,144.2,-7.73,1.84,-0.24,260.9,5.13,4.37,2
2.84,155.5,-9.24,1.15,0.97,407.0,8.02,2.43,3
3.29,236.5,-10.26,1.36,-1.77,316.9,8.18,6.41,2
8.67,121.4,-5.89,-1.69,-1.91,408.0,5.72,7.39,3
1.07,192.5,-7.53,0.63,1.01,203.5,9.24,13.86,2
1.47,130.4,-7.53,-1.3,-1.48,301.7,8.38,10.76,2
2.01,143.3,-7.73,1.14,1.25,136.9,8.83,7.4,1
15.54,166.8,-9.89,-2.49,-0.42,397.2,1.78,5.24,3
17.9,182.1,-7.59,0.43,1.81,257.6,0.99,2.23,2
18.18,126.3,-10.45,0.22,-1.74,486.5,1.67,5.31,4
1.15,189.3,-6.9,-1.69,0.01,334.5,8.69,7.62,3
13.43,191.1,-10.69,0.16,-0.92,501.9,3.28,2.49,4
6.44,161.3,-9.87,1.55,-1.6,335.5,7.16,12.6,2
2.33,130.1,-9.23,0.08,0.16,250.9,8.66,8.95,2
2.97,150.1,-9.33,-2.08,-1.97,310.5,7.73,5.67,3
2.27,114.7,-6.13,-1.47,-1.16,341.0,8.92,11.12,2
11.46,211.7,-9.27,-1.24,-0.19,482.8,4.23,1.88,4
6.83,102.2,-10.56,-1.44,-0.62,224.9,6.39,11.73,1
4.16,149.8,-10.59,0.42,1.45,242.0,8.72,0.26,1
3.76,238.7,-10.1,1.75,-0.86,531.4,8.29,5.53,4
16.95,128.1,-8.63,-0.48,-0.71,178.5,2.13,7.82,1
1.43,178.5,-9.82,0.95,1.64,246.6,9.4,2.35,1
10.41,122.4,-9.59,1.72,-1.31,166.2,5.27,9.38,1
2.38,242.5,-9.9,-1.13,0.5,438.2,8.48,13.46,4
3.77,223.1,-9.21,-2.77,-0.42,330.4,7.94,1.13,2
9.84,146.9,-7.97,0.77,-1.74,232.4,5.98,0.13,1
4.93,212.8,-5.17,0.67,1.19,309.8,7.78,9.92,3
13.1,185.1,-6.25,-1.48,1.99,510.8,3.39,11.11,4
8.2,133.2,-9.96,-1.65,-0.31,350.9,5.91,5.83,3
15.91,120.2,-6.18,0.52,0.39,529.2,1.97,4.84,4
13.5,137.4,-6.74,-2.22,1.35,437.2,3.73,4.92,4
19.58,194.3,-5.57,1.22,1.14,187.5,0.31,11.74,1
7.78,243.2,-8.39,1.3,0.02,120.4,5.92,0.81,1
9.48,216.5,-5.8,-0.17,-0.86,532.6,4.09,11.15,4
13.7,235.5,-6.81,-1.91,-0.99,321.3,2.87,1.98,3
9.02,129.1,-9.36,1.75,1.48,197.5,4.52,11.49,1
5.54,237.2,-8.66,-1.82,-1.69,434.6,7.52,7.58,4
1.13,112.7,-5.97,-1.45,0.36,413.7,9.58,11.7,3
6.24,241.6,-6.15,-0.79,-0.04,228.4,6.78,2.04,2
17.42,121.2,-9.53,-0.4,-0.03,314.0,1.0,2.03,2
12.2,154.2,-5.98,-0.72,1.22,376.4,4.43,3.01,3
1.09,151.8,-5.33,-3.0,-1.39,406.6,9.95,7.25,3
15.97,149.5,-5.73,1.31,1.95,278.6,1.61,6.2,2
1.3,210.5,-8.71,-2.88,-0.74,383.9,9.26,3.66,3
19.11,225.9,-7.75,1.41,1.3,191.1,1.02,3.92,1
10.76,185.6,-5.92,1.11,-1.33,235.0,4.74,10.73,2
18.25,181.9,-6.7,1.68,1.04,186.8,0.48,1.09,1
17.83,139.2,-6.75,-1.43,0.7,140.3,1.33,12.57,1
17.82,235.5,-9.29,-2.1,1.18,345.6,0.99,5.52,3
8.14,184.7,-7.34,-2.73,2.0,275.4,5.69,10.54,2
4.53,161.7,-10.67,0.44,0.73,235.0,7.95,2.16,2
7.67,183.9,-9.22,-2.22,0.06,393.2,5.79,11.04,3
3.55,115.7,-9.78,-2.16,0.79,345.6,8.64,3.56,3
16.85,116.7,-8.68,-1.85,1.03,428.7,1.74,0.03,4
11.8,239.1,-6.57,-1.61,-0.16,234.9,3.84,10.88,1
5.72,132.8,-9.44,-1.93,-1.08,465.9,6.74,8.26,4
16.58,140.5,-9.93,0.04,-1.13,341.5,2.05,9.4,2
9.76,183.6,-5.95,-0.44,-1.91,162.8,5.54,8.38,1
1.21,173.0,-5.51,0.25,1.03,202.6,10.0,3.25,2
3.91,183.4,-8.32,0.21,-0.6,330.7,8.8,4.61,3
9.01,154.8,-9.53,1.28,1.03,425.5,4.88,0.1,3
2.47,160.8,-9.49,-2.82,-1.48,354.7,9.3,12.77,3
13.22,125.3,-8.5,-0.21,0.69,227.1,4.18,6.14,1
4.75,174.6,-6.19,-1.07,-1.83,258.8,7.31,2.35,2
12.29,163.4,-7.63,0.95,0.38,245.2,3.36,0.01,2
1.18,241.0,-7.54,-1.86,-1.9,320.3,9.45,10.99,2
3.75,119.5,-5.13,0.04,0.79,211.8,8.22,4.81,2
7.19,192.4,-10.53,-1.65,1.17,331.5,6.08,3.98,2
2.67,245.0,-8.15,-1.83,-0.35,463.6,8.31,7.44,4
19.69,114.7,-8.12,-1.36,-0.58,250.0,0.1,6.9,2
5.41,208.2,-7.68,-2.68,-1.07,333.8,7.27,8.66,3
18.08,229.8,-9.99,0.73,1.42,189.6,0.86,0.06,1
14.04,149.8,-9.99,1.41,-0.13,542.2,3.42,5.11,4
19.21,185.4,-8.51,-2.92,1.02,153.5,0.1,13.64,1
18.3,113.4,-7.36,0.26,0.48,435.4,0.1,2.9,4
17.69,150.6,-9.18,-0.19,-1.42,137.9,1.32,4.59,1
11.98,137.3,-8.01,1.53,-1.32,114.6,3.19,1.6,1
19.33,202.8,-5.08,0.43,-0.95,436.3,0.1,7.01,4
4.44,108.4,-10.82,-0.91,1.43,497.0,7.74,5.61,4
9.63,172.5,-8.2,-0.11,-0.7,407.3,5.97,5.66,3
15.84,183.1,-8.16,-2.36,1.56,163.1,2.15,5.9,1
10.19,239.7,-6.85,-2.19,0.52,341.6,5.28,9.83,2
19.89,238.2,-9.4,-1.88,0.83,125.9,0.49,6.33,1
14.93,101.0,-6.2,-0.58,-0.88,307.6,2.16,3.65,2
4.92,187.2,-8.59,-1.67,-1.81,461.4,7.86,6.9,4
16.42,160.0,-10.43,-2.5,-0.18,136.7,1.36,13.24,1
17.86,180.4,-7.22,-0.41,0.56,130.0,1.0,6.6,1
11.25,197.4,-10.84,0.49,-0.66,226.0,3.2,1.95,2
19.82,141.2,-6.7,-2.52,1.81,546.7,0.58,11.53,4
11.18,214.2,-10.93,0.64,0.56,259.0,4.96,12.84,2
15.69,238.1,-7.42,-2.88,1.97,391.6,1.54,4.77,3
7.16,233.3,-5.77,0.49,1.21,265.4,6.94,0.31,2
5.54,213.3,-6.81,1.77,0.04,521.8,7.57,11.28,4
15.89,178.7,-7.25,-0.72,-1.34,214.0,1.52,4.55,1
4.67,172.8,-8.41,-2.67,0.6,108.0,8.54,7.67,1
6.39,211.7,-8.98,-1.59,-1.4,196.6,6.59,10.98,1
8.0,215.9,-8.78,-2.26,-0.38,245.4,5.94,6.68,1
12.87,101.8,-8.75,-0.5,-0.03,227.7,3.37,4.09,1
7.5,105.7,-7.82,-2.1,-0.02,145.1,6.5,11.99,1
7.1,171.6,-10.14,1.98,-1.01,292.0,5.75,12.92,2
9.42,230.0,-5.71,-0.9,-1.91,268.1,5.38,10.04,2
9.55,132.3,-7.24,-1.06,0.21,288.1,5.92,0.17,2
1.4,121.5,-8.75,-2.68,-0.19,484.7,9.94,0.6,4
7.01,240.0,-5.11,-0.01,-1.74,210.3,6.57,8.09,1
9.92,233.7,-5.76,-2.38,0.07,348.8,5.83,10.86,3
5.47,140.3,-7.36,-1.69,-1.54,465.4,7.52,1.98,4
10.06,226.0,-8.77,-1.5,1.97,487.3,5.29,12.64,4
11.82,213.6,-8.79,-2.51,0.96,402.2,4.68,12.84,4
16.95,249.3,-10.6,1.15,-0.54,341.5,1.55,11.09,3
15.72,124.5,-8.94,-2.45,1.36,273.4,2.86,9.08,2
5.88,234.6,-9.53,-0.58,-1.59,127.9,7.73,5.14,1
3.45,108.5,-7.35,-1.55,1.51,408.1,7.7,1.3,3
1.02,201.0,-6.68,-1.82,0.64,416.7,8.48,13.15,4
8.57,200.4,-9.25,-1.88,-1.67,408.7,4.35,3.98,3
17.25,237.4,-7.72,0.35,-0.25,523.5,2.37,2.56,4
4.07,134.2,-6.28,0.97,0.39,203.2,7.67,13.27,1
6.45,125.7,-7.15,-0.96,0.49,537.7,6.86,8.36,4
11.32,177.0,-6.54,-1.41,0.95,507.0,4.52,13.37,4
12.28,242.9,-9.69,0.66,0.64,334.0,3.12,11.61,3
11.4,141.8,-7.19,-1.65,0.57,423.5,3.53,4.07,3
1.05,219.5,-9.36,1.35,1.28,237.2,9.66,9.32,2
15.64,148.0,-9.62,-1.53,-1.92,424.9,1.03,8.51,3
18.11,138.3,-9.37,-2.74,1.84,488.7,1.24,5.56,4
5.8,202.6,-8.8,-0.65,-0.28,377.4,7.01,7.59,3
3.53,215.7,-8.17,-1.5,-0.86,287.3,8.2,7.39,2
15.6,102.0,-9.62,-0.67,-0.04,159.6,2.57,0.91,1
14.87,187.5,-8.9,-1.54,1.76,241.3,2.61,2.51,2
16.07,179.6,-5.62,1.94,1.68,469.6,1.68,7.64,4
18.46,158.4,-10.19,1.87,1.27,321.6,0.57,0.61,3
1.84,217.8,-9.71,0.09,-1.11,393.3,9.12,11.34,3
11.2,153.4,-10.64,1.53,-0.86,482.5,4.2,5.49,4
15.99,181.6,-6.75,-1.44,1.32,401.3,1.33,1.06,3
10.52,164.2,-7.82,0.94,0.61,196.1,4.96,11.78,1
11.49,167.2,-8.15,0.83,-1.02,238.7,3.77,0.96,1
11.77,172.8,-10.79,-1.22,1.48,178.1,4.0,2.36,1
1.2,123.4,-5.23,0.61,1.62,202.9,9.59,10.73,2
18.18,220.5,-5.94,-2.53,0.54,332.2,0.41,13.07,2
5.0,143.6,-6.08,-1.84,1.94,319.0,6.93,0.48,3
1.48,177.4,-5.75,-1.95,0.21,209.6,8.73,0.85,1
13.04,141.0,-6.34,0.13,1.43,430.4,2.76,6.76,4
11.64,228.9,-10.16,-1.99,-0.79,319.4,4.47,5.88,3
3.43,224.8,-5.17,-1.58,1.81,343.3,8.24,13.49,2
19.97,242.6,-5.4,-1.64,-0.55,406.3,1.05,6.26,4
8.44,154.6,-6.82,1.72,-1.6,305.5,6.18,9.94,3
6.05,233.0,-9.25,1.74,-1.38,167.8,6.32,4.91,1
2.92,228.8,-10.99,1.16,0.53,288.3,8.02,2.58,2
11.16,186.1,-8.08,-0.74,1.03,327.3,4.58,9.65,3
4.12,122.1,-7.43,-0.55,-1.78,409.0,8.08,6.37,3
3.77,205.6,-5.04,-1.13,-0.12,340.9,8.2,7.97,2
14.82,241.7,-10.2,-0.7,1.14,175.3,2.28,11.27,1
2.27,222.9,-10.47,-2.29,0.11,419.1,8.72,4.95,4
14.55,111.5,-8.44,-1.65,-0.32,426.7,3.22,6.9,3
2.32,103.4,-6.49,-2.07,-1.29,441.5,8.64,7.1,3
8.49,169.1,-8.96,1.4,-1.55,525.1,6.54,0.96,4
3.37,237.0,-7.03,0.45,-0.67,285.1,8.2,9.63,2
19.71,208.4,-5.66,-2.33,-0.86,526.1,0.33,6.21,4
5.49,249.9,-6.24,-0.85,-0.53,357.2,7.29,8.39,3
7.92,194.1,-10.39,-1.37,-1.7,375.5,6.77,12.42,3
5.02,232.3,-8.32,-2.93,-1.1,413.1,7.64,3.67,4
11.33,221.8,-10.77,0.7,0.06,249.3,3.86,9.43,2
18.52,180.8,-9.99,-0.8,1.97,537.4,0.1,7.81,4
10.17,113.6,-6.38,-1.19,-0.34,228.2,4.46,7.57,1
15.1,119.6,-9.96,-2.09,-0.35,489.5,2.02,13.11,4
7.74,222.3,-7.65,-0.56,-0.86,235.9,7.1,5.03,1
6.37,155.4,-7.31,-1.64,0.23,364.6,7.11,0.96,3
2.87,190.4,-10.06,-0.46,1.44,540.7,8.58,4.79,4
19.43,143.8,-5.51,-1.75,0.68,441.9,0.1,0.09,3
8.19,233.7,-10.65,-1.54,1.99,385.9,6.56,11.52,3
17.6,237.4,-5.48,-0.87,1.78,308.5,2.3,13.85,3
12.77,243.4,-10.32,0.05,1.37,532.8,5.01,11.38,4
13.89,239.3,-5.59,1.21,-1.83,536.8,2.69,11.11,4
9.69,184.6,-8.79,-1.61,1.02,241.5,5.42,9.03,1
7.22,190.3,-6.26,-1.36,0.46,471.3,6.26,8.06,4
10.0,244.3,-8.63,0.22,0.98,444.4,5.0,7.95,4
15.56,155.9,-6.6,1.97,1.91,214.0,2.81,5.67,2
18.33,194.6,-5.89,-1.85,-1.12,332.0,1.59,2.43,2
10.41,166.0,-7.85,-1.9,-0.55,508.7,5.56,9.14,4
11.09,151.7,-8.59,1.1,0.21,220.5,4.14,0.35,1
14.92,239.4,-8.63,0.99,-0.66,315.6,2.3,3.24,2
19.23,185.4,-10.66,-1.35,1.46,222.8,0.26,0.06,1
13.5,169.8,-10.91,-2.93,0.17,117.5,3.69,6.99,1
17.15,108.1,-6.54,-0.85,-1.98,151.4,1.56,4.99,1
8.68,123.3,-8.51,-0.28,1.64,322.3,5.95,5.98,2
4.41,181.1,-10.09,0.8,0.09,510.4,7.4,8.03,4
14.39,249.2,-5.77,0.3,0.74,515.2,3.09,1.06,4
5.66,168.9,-7.17,0.36,0.03,214.2,7.27,3.68,1
17.83,193.8,-8.15,1.02,0.46,311.0,1.22,3.22,3
2.5,227.8,-8.86,0.87,1.92,224.1,9.68,12.41,1
10.04,237.8,-8.93,-0.63,-0.23,213.8,5.19,10.38,2
9.29,154.9,-8.77,-2.48,0.79,223.5,5.1,2.6,1
17.38,124.5,-5.68,1.07,1.44,248.2,1.62,11.74,2
19.41,245.7,-8.73,0.01,-1.58,332.6,0.84,6.9,3
19.12,179.1,-10.88,-2.83,0.33,330.2,0.16,11.37,3
2.04,232.9,-10.13,0.94,-0.17,312.5,9.71,10.24,3
19.82,144.8,-8.92,-1.03,1.97,275.2,0.1,5.06,2
13.69,113.3,-10.0,-1.43,1.75,417.9,3.43,8.42,3
5.79,231.8,-6.06,-0.42,-1.26,397.9,7.42,8.39,3
8.16,162.5,-5.01,0.36,-1.61,548.8,6.28,12.88,4
17.89,166.1,-9.0,1.62,-0.19,215.9,1.14,1.35,1
18.41,247.5,-8.09,-2.87,-1.92,309.5,0.49,11.75,2
3.32,161.3,-10.71,-1.48,-0.01,262.3,7.47,5.51,2
3.72,186.1,-9.83,-2.8,0.95,219.0,8.51,1.97,2
1.84,210.6,-9.63,1.22,1.53,257.6,9.46,4.01,2
8.48,133.8,-8.68,0.52,1.85,429.1,5.34,2.44,3
7.56,140.5,-6.04,-1.65,1.67,251.0,6.4,1.25,2
13.78,210.8,-8.6,0.85,1.66,219.3,3.34,3.66,2
4.07,221.1,-6.55,0.17,-0.66,380.2,8.0,6.23,3
16.14,130.1,-7.83,0.3,-0.45,391.5,1.81,9.98,3
12.02,146.3,-7.02,0.75,1.26,218.6,3.93,13.34,2
3.11,101.3,-9.82,-2.2,-0.13,315.2,8.46,2.63,2
18.04,157.7,-10.77,0.0,-1.4,476.7,0.89,1.27,4
17.14,235.2,-9.52,-0.41,-0.18,488.5,1.31,5.54,4
15.33,160.2,-10.39,-1.3,-0.52,106.7,2.37,10.31,1
10.12,213.9,-6.78,0.65,-1.66,433.2,4.55,11.56,4
12.6,108.6,-7.58,-0.83,-0.6,366.6,3.76,2.83,3
4.76,188.2,-6.24,-0.65,1.84,316.5,7.66,4.65,3
15.44,243.1,-8.58,-1.95,1.71,409.8,1.76,1.25,3
14.18,247.7,-9.44,0.69,1.88,333.3,3.64,5.16,3
16.18,186.8,-5.83,-2.95,0.29,354.8,2.09,4.55,3
18.82,102.1,-7.61,-0.51,-1.58,106.0,0.24,7.77,1
