Retention Time (min),Van der Waals Radius (pm),HOMO Energy (eV),LUMO Energy (eV),Redox Potential (V),Molecular Weight (g/mol),Polarizability,pKa,Number of Benzene Rings
3.13,250.0,-6.18,-2.25,-1.72,153.1,8.38,12.36,1
6.5,202.3,-9.91,-2.58,1.54,361.8,6.82,7.94,3
14.97,182.2,-10.11,-1.12,-0.49,524.2,2.88,12.4,4
12.81,219.3,-5.79,0.13,-1.17,506.9,3.45,4.97,4
9.42,249.5,-10.97,-1.69,0.0,424.2,5.27,2.81,3
13.71,128.6,-10.62,1.58,1.72,338.8,2.55,7.36,2
15.65,218.7,-5.48,0.44,0.78,322.4,1.31,7.44,2
18.05,151.3,-9.49,0.43,-0.64,344.4,1.72,12.74,2
9.37,209.7,-6.35,0.46,-0.78,242.5,5.46,0.08,1
13.21,206.1,-7.06,-2.99,0.65,248.8,2.03,11.98,2
8.25,249.7,-10.33,1.07,-1.64,159.5,5.87,8.52,1
18.61,116.8,-6.23,1.59,-0.54,386.7,1.76,13.16,3
10.13,100.3,-9.76,-2.9,-0.09,303.9,4.39,10.43,2
8.8,212.2,-6.83,-0.01,1.04,370.2,5.32,5.13,3
18.85,185.3,-8.71,0.38,-0.7,318.4,0.1,8.89,2
1.04,203.6,-7.73,-2.02,1.17,495.2,9.16,5.18,4
7.31,213.0,-5.32,1.19,1.13,489.8,7.32,12.9,4
16.93,174.0,-9.44,0.13,-1.92,422.7,2.11,0.28,4
9.58,153.5,-9.19,-1.87,-1.24,326.5,4.29,7.77,3
7.62,215.6,-9.24,1.84,0.61,147.7,6.27,7.1,1
12.17,157.0,-8.78,-1.92,-0.02,444.4,4.32,2.66,3
8.69,193.3,-7.54,0.39,-1.89,212.4,6.45,5.99,2
7.26,234.0,-6.2,-0.63,-0.56,444.1,7.19,4.16,3
6.05,123.8,-5.64,0.62,0.5,472.1,7.55,9.39,4
6.95,101.3,-10.63,-2.51,1.97,166.0,6.19,10.54,1
18.56,138.5,-7.1,1.76,-1.17,327.2,0.65,10.8,2
19.23,219.6,-7.45,-1.98,-1.39,424.9,0.1,5.52,3
2.88,185.0,-7.39,-1.9,-0.54,221.0,8.39,2.68,2
14.97,241.9,-6.24,-0.23,0.2,221.9,2.54,4.12,1
13.5,182.2,-5.37,-1.25,0.66,277.1,3.19,7.49,2
12.99,139.9,-6.51,-0.79,-0.56,349.1,2.98,8.61,3
1.62,214.9,-9.97,-2.81,-1.09,217.1,9.09,11.13,2
6.2,198.6,-5.27,-1.83,-1.98,489.2,5.87,10.08,4
15.18,223.1,-5.81,0.87,-1.27,217.3,1.99,2.44,1
10.42,200.2,-9.2,1.51,-1.6,533.0,4.93,10.42,4
1.45,167.8,-10.27,-1.83,-1.03,245.8,8.89,1.61,1
11.0,141.6,-6.16,0.87,-0.71,319.4,5.15,12.85,3
17.11,108.3,-5.14,-2.86,-1.69,260.1,2.12,9.66,2
17.69,146.2,-10.24,-2.78,-0.38,208.3,1.17,1.57,2
18.07,106.9,-7.09,-1.03,-1.33,195.7,0.73,11.71,1
11.02,164.5,-10.94,-2.26,0.33,233.3,4.62,9.5,1
9.87,133.9,-10.79,-2.17,-0.49,503.4,5.06,9.97,4
5.64,205.5,-6.29,0.14,0.56,358.9,6.56,6.82,3
17.46,133.0,-6.11,1.29,1.1,214.2,0.47,8.47,1
16.2,112.2,-8.9,0.89,-1.66,249.5,2.1,5.99,1
17.41,225.8,-8.31,-1.32,-0.47,201.2,1.84,7.95,2
5.29,109.0,-6.32,1.38,1.91,324.4,6.16,11.06,2
2.86,212.6,-5.85,1.21,-1.99,349.6,8.9,2.8,3
14.27,239.4,-9.34,-0.38,-0.16,312.3,3.24,12.26,2
18.35,116.1,-6.29,-0.62,-0.12,336.3,1.52,4.28,3
18.41,184.0,-9.79,-2.71,1.29,331.1,0.64,2.07,3
11.04,167.8,-8.32,-2.25,-0.84,321.6,4.63,8.88,2
13.2,219.8,-6.69,-2.57,1.1,215.3,3.73,7.34,1
3.13,193.5,-6.89,-0.37,-1.99,421.9,8.49,4.08,3
6.23,141.7,-7.99,0.38,-0.04,313.8,6.62,8.79,2
11.22,100.2,-6.98,0.09,-0.72,115.3,4.34,10.0,1
17.73,172.4,-10.7,1.36,1.23,432.5,0.62,3.82,3
10.2,234.1,-9.27,0.29,-0.39,357.3,4.94,1.63,3
12.26,235.8,-9.7,1.15,-1.72,333.7,3.84,7.14,3
2.06,118.8,-10.51,-2.3,0.83,285.6,8.56,3.96,2
19.33,229.1,-9.75,-2.14,-1.95,152.5,0.7,4.55,1
10.36,105.2,-5.84,1.59,-0.66,506.8,4.64,6.92,4
4.05,113.9,-5.62,-1.23,-0.01,404.5,8.45,10.24,3
7.44,244.9,-7.8,-1.92,0.97,227.7,6.01,0.21,1
10.75,158.0,-8.09,1.56,-0.75,549.0,4.55,6.7,4
3.63,110.6,-8.22,1.85,-1.58,520.1,7.96,1.73,4
4.74,170.6,-5.25,0.19,1.3,422.1,7.0,11.95,4
18.4,106.9,-5.36,-1.06,-1.96,314.6,1.38,3.64,2
17.58,102.5,-9.7,0.44,1.49,485.5,0.8,5.66,4
3.32,184.3,-10.43,-2.92,-1.57,184.9,9.07,0.66,1
6.3,131.7,-10.67,-2.28,-1.5,151.2,7.13,2.09,1
13.08,193.3,-8.85,-1.16,-1.34,424.9,3.84,0.03,4
5.94,150.2,-8.49,1.16,-1.41,426.8,6.61,5.04,4
1.04,119.9,-9.51,-1.48,1.18,409.6,9.57,11.35,4
14.32,247.7,-5.48,-2.71,1.24,321.0,2.85,8.06,2
4.67,137.5,-5.98,-1.11,-1.32,511.8,7.85,11.76,4
7.17,109.3,-6.53,-1.79,-1.55,328.7,6.73,2.46,2
6.39,141.8,-8.1,-2.72,0.29,305.9,6.06,9.48,2
3.9,137.8,-5.68,-1.01,0.8,326.0,7.91,10.44,3
3.58,144.9,-5.33,-1.24,0.24,410.7,9.13,4.82,3
3.75,153.4,-5.67,0.67,-1.89,484.1,7.72,1.6,4
19.38,220.8,-9.43,-2.68,1.06,217.2,0.46,10.39,2
14.81,109.0,-5.81,-1.1,0.86,535.9,2.78,7.3,4
18.86,153.2,-8.9,-1.29,0.87,535.4,0.96,6.58,4
11.86,115.6,-10.26,0.23,-1.17,294.6,3.88,11.72,2
7.29,247.3,-6.54,1.44,-1.72,263.5,6.49,6.9,2
4.11,121.6,-6.15,-2.29,1.99,136.5,8.91,4.13,1
10.18,171.9,-5.08,1.08,-0.09,115.5,5.01,10.48,1
10.37,172.0,-8.11,0.05,0.9,521.1,4.35,3.78,4
15.77,217.2,-9.49,-2.85,-1.61,545.0,2.14,3.87,4
11.04,140.8,-10.61,0.83,0.02,203.1,4.56,2.92,2
4.7,210.7,-8.52,-0.31,0.02,272.4,7.35,1.45,2
16.47,104.0,-7.54,1.0,-1.51,316.8,1.02,11.22,3
3.81,239.1,-8.02,-0.96,-0.59,163.4,8.28,9.81,1
11.05,114.8,-10.02,0.33,1.57,387.5,4.03,5.36,3
1.81,172.1,-8.77,-2.01,0.76,264.9,8.99,10.15,2
8.01,126.0,-5.49,-2.04,0.93,103.6,6.57,13.46,1
13.77,155.3,-8.24,-1.3,1.51,548.2,2.97,6.53,4
3.64,196.3,-7.93,-0.4,-0.76,238.9,7.91,6.84,1
10.97,121.4,-8.17,0.58,1.16,216.1,4.45,7.41,1
11.24,143.4,-8.69,0.33,-1.61,160.7,4.62,3.73,1
18.28,201.9,-10.64,1.11,0.31,503.7,0.38,3.47,4
9.87,226.7,-9.62,-0.87,0.14,306.8,4.58,6.84,2
2.49,188.9,-8.0,1.56,-0.28,351.7,9.06,7.01,3
3.77,178.4,-7.49,-2.45,-1.16,106.9,7.81,4.05,1
6.24,116.4,-8.13,-2.06,-0.29,193.7,7.31,8.15,1
16.18,122.0,-8.82,0.42,1.38,442.3,0.99,10.79,3
5.85,243.7,-6.18,-1.73,0.92,512.4,7.34,9.65,4
12.58,100.4,-6.83,-2.18,-0.24,135.0,3.23,2.06,1
2.49,172.7,-5.33,1.43,1.87,183.8,9.5,8.99,1
4.84,213.5,-10.83,-2.66,1.14,259.1,7.53,0.05,2
12.76,131.5,-6.54,1.96,-1.82,382.4,4.42,5.5,3
2.86,168.9,-10.63,1.31,1.0,508.9,8.88,6.45,4
14.6,174.0,-9.25,1.34,0.87,373.5,2.8,11.14,3
9.53,139.1,-5.5,0.14,-1.8,436.9,6.06,12.32,3
6.31,231.8,-6.35,-1.88,1.71,204.1,5.79,10.05,1
17.6,238.8,-7.03,0.99,-0.13,453.5,1.49,10.85,4
13.79,212.4,-8.6,-2.73,-1.04,392.2,2.63,13.04,3
2.22,101.3,-10.7,-0.09,-0.21,268.9,9.23,6.78,2
13.73,194.3,-9.44,-0.8,1.34,319.0,2.63,3.92,2
4.77,134.8,-8.11,0.75,-1.0,402.1,7.71,5.18,4
18.48,140.1,-8.46,-2.88,1.66,288.2,1.46,6.0,2
3.92,127.6,-8.25,-1.07,-1.74,104.5,7.96,4.43,1
12.72,185.9,-10.82,-0.61,-1.64,546.9,4.26,4.25,4
5.61,167.0,-7.2,-2.24,0.4,376.6,7.93,13.76,3
18.9,129.0,-8.29,-0.93,0.04,142.5,0.1,13.89,1
7.16,239.9,-10.9,1.55,0.69,117.5,5.7,9.0,1
12.2,135.9,-5.36,-0.66,-1.83,351.9,3.3,11.34,3
3.46,216.8,-9.81,-1.74,-0.96,195.5,7.67,10.1,1
10.11,103.7,-9.98,-0.34,0.81,446.0,5.01,9.55,3
12.57,127.5,-6.47,-2.7,-0.62,215.1,4.5,2.05,2
15.64,222.8,-8.91,-1.53,-0.78,232.3,2.21,1.91,2
11.58,180.5,-7.33,0.92,1.28,142.3,5.07,12.4,1
14.37,196.9,-10.96,0.21,1.18,315.1,2.04,0.2,2
17.32,164.3,-8.41,-2.88,0.98,412.8,2.46,9.52,4
6.67,165.3,-10.85,-0.15,0.51,434.3,7.34,11.27,3
7.46,118.8,-9.74,-1.91,1.82,233.6,5.64,10.05,2
1.56,125.6,-9.83,1.88,-1.92,408.0,9.18,2.02,3
11.53,237.8,-5.17,0.92,-1.39,314.3,4.44,8.97,2
19.46,168.6,-9.19,-2.36,-0.16,334.1,0.14,1.73,2
14.99,170.9,-5.96,-1.07,-0.88,231.9,2.43,6.47,2
19.86,199.9,-8.48,-0.55,-0.83,508.8,0.1,9.17,4
9.63,102.1,-5.83,-2.09,1.92,353.6,5.15,5.21,3
15.2,179.9,-7.02,0.52,-1.82,258.9,2.67,7.24,2
4.06,232.8,-10.96,1.21,-1.9,176.7,8.62,13.26,1
9.02,162.6,-10.33,-2.98,1.74,220.5,6.47,4.35,2
13.23,161.9,-10.81,-2.33,-1.36,154.4,3.6,2.45,1
9.56,168.0,-10.46,-1.58,-1.83,241.1,4.89,12.71,1
1.56,228.3,-9.68,1.92,-0.17,127.9,9.25,6.77,1
7.02,191.5,-6.29,-0.98,1.53,248.0,6.14,6.95,2
13.85,212.1,-6.6,-2.15,-0.78,521.3,2.38,13.35,4
8.51,207.7,-9.53,-2.4,1.73,238.2,5.87,3.75,2
9.52,107.6,-8.66,1.51,1.46,325.6,5.45,11.15,3
17.27,246.5,-5.84,1.05,-0.88,429.4,1.5,7.84,4
6.12,205.9,-10.57,0.1,-0.26,447.9,7.18,9.66,3
12.7,187.0,-7.61,-0.3,1.69,162.6,3.54,6.59,1
17.07,106.8,-10.31,0.89,-1.51,160.0,2.31,5.37,1
16.34,237.7,-5.04,-1.41,-1.75,513.8,1.95,2.02,4
5.54,170.4,-8.35,0.2,-1.25,210.3,6.86,13.83,2
1.97,236.7,-5.51,0.68,-1.1,126.3,8.51,10.18,1
6.26,162.8,-10.08,-0.12,-1.28,408.3,6.74,6.37,3
4.35,186.6,-5.06,-2.16,-1.87,148.6,7.15,6.9,1
1.53,234.1,-10.64,1.93,0.87,205.6,9.71,0.0,1
6.78,169.1,-10.65,1.06,-1.35,404.4,6.62,0.41,4
10.9,126.9,-6.06,-0.55,-0.18,289.0,4.93,11.31,2
13.36,163.8,-6.34,0.1,-1.52,482.1,3.79,0.65,4
8.18,157.2,-9.51,0.8,-0.54,122.6,4.99,10.8,1
4.88,209.6,-9.52,-0.71,-0.41,218.7,7.95,9.99,2
11.82,226.1,-8.16,0.7,1.65,439.3,4.03,9.51,3
15.29,101.7,-5.34,0.86,0.82,476.2,2.25,7.62,4
14.2,174.2,-7.24,-0.7,1.62,108.4,2.6,4.86,1
17.28,140.1,-6.0,-2.06,-0.04,423.1,1.03,13.62,4
6.01,124.7,-5.8,-0.01,-1.32,401.2,6.81,12.75,3
10.56,199.9,-10.19,-0.23,-0.36,472.0,3.99,6.64,4
10.28,225.3,-7.53,-0.5,0.37,490.1,4.09,2.46,4
7.11,181.7,-5.08,-2.71,0.16,269.3,5.88,3.28,2
14.04,129.1,-10.43,0.89,1.59,438.9,2.87,0.2,3
3.55,212.7,-8.34,-0.31,0.37,224.0,8.37,12.21,1
16.3,178.2,-6.41,-0.85,-0.97,347.0,0.89,5.09,2
1.7,220.7,-5.06,1.07,1.81,240.9,9.7,6.8,1
8.38,244.7,-10.28,-2.02,-1.3,409.6,6.82,7.37,3
12.54,162.9,-8.57,-1.64,-0.09,208.8,4.12,11.1,2
9.06,147.9,-6.48,0.2,1.55,249.9,5.48,8.61,1
13.46,142.3,-7.44,-1.05,0.84,371.5,3.89,0.97,3
1.74,203.6,-5.73,-1.48,0.14,310.1,8.63,5.28,3
17.48,245.8,-10.39,-1.73,0.75,348.7,0.99,6.39,2
2.48,142.9,-7.74,-0.57,-0.25,286.0,8.26,10.06,2
6.47,169.3,-7.34,0.88,-0.41,469.4,6.91,10.98,4
6.57,186.4,-6.11,1.03,0.51,103.9,6.5,0.07,1
1.22,243.1,-5.93,0.95,0.95,164.8,9.65,8.38,1
2.79,137.1,-8.16,1.43,1.75,428.3,9.48,0.42,4
17.19,244.2,-7.37,-2.75,1.35,308.1,1.36,11.7,2
15.74,178.6,-10.95,1.91,1.84,202.2,1.9,3.36,2
15.02,209.3,-6.87,-0.87,-1.54,280.4,3.16,4.66,2
14.1,217.2,-10.91,-2.04,1.96,107.5,2.7,3.26,1
2.42,124.7,-7.12,1.85,-1.2,407.5,8.79,12.15,3
6.67,246.2,-7.96,1.13,-1.68,343.0,6.04,4.21,2
1.12,246.4,-5.28,1.65,0.63,207.5,9.03,10.39,2
2.15,229.9,-10.02,-0.38,0.69,216.4,8.15,8.58,2
1.72,226.5,-8.7,0.74,1.9,377.8,8.71,12.08,3
4.78,148.9,-5.86,-0.4,1.08,447.4,8.57,2.77,3
2.07,227.8,-7.92,-0.3,-0.43,362.3,8.47,7.24,3
1.32,233.2,-6.11,1.76,0.4,492.7,9.4,11.67,4
5.65,140.0,-7.96,0.69,0.44,214.5,7.55,8.55,1
16.18,125.6,-6.91,-0.17,1.06,239.3,2.06,0.17,1
2.07,213.5,-5.71,-1.04,0.32,327.4,8.77,3.55,3
19.71,186.7,-10.67,-2.18,-0.45,436.8,0.1,9.58,3
13.49,116.2,-5.71,-2.42,0.73,494.3,3.95,8.56,4
17.47,159.9,-9.93,-1.5,-1.04,321.0,0.1,12.55,2
13.55,149.8,-6.47,0.46,-0.6,145.0,3.84,12.96,1
15.76,199.1,-7.61,-2.04,-1.71,275.5,2.48,11.2,2
6.71,163.1,-9.0,-2.34,1.26,232.1,6.27,2.57,2
5.89,197.3,-5.25,-2.61,-1.72,328.3,7.44,5.21,2
13.62,219.9,-5.95,1.23,-0.8,131.5,3.83,13.51,1
11.7,206.1,-9.29,-1.79,1.7,382.7,3.23,6.77,3
10.61,192.6,-9.78,-2.0,0.24,163.3,3.54,4.68,1
4.37,236.0,-8.85,-1.05,-1.13,408.4,7.29,13.47,4
5.38,137.2,-9.01,0.15,1.97,362.4,6.86,9.79,3
11.44,176.1,-10.04,-0.07,1.52,317.9,4.57,9.75,2
8.79,213.4,-5.38,1.62,-1.73,479.8,5.49,5.77,4
19.29,133.6,-5.67,0.41,-1.08,146.4,0.1,1.31,1
11.5,131.8,-5.75,-0.19,0.57,267.4,3.66,13.77,2
9.2,202.6,-8.27,0.56,-1.2,416.4,5.29,1.19,3
19.06,217.1,-6.26,0.32,0.15,500.6,0.53,9.32,4
2.74,233.0,-8.84,0.84,-1.34,317.5,9.13,0.72,3
6.16,167.2,-5.84,-0.14,0.69,280.2,7.52,0.2,2
7.58,207.4,-5.56,1.04,0.12,230.6,6.75,0.14,2
17.22,125.6,-7.77,1.5,1.88,346.8,0.89,13.19,2
15.56,147.2,-8.14,0.48,-1.46,411.1,1.67,6.47,3
6.79,194.8,-7.8,-1.21,0.12,313.1,6.63,8.43,3
17.58,122.2,-9.57,-1.6,-0.75,438.0,1.2,1.98,4
2.19,243.4,-10.45,0.19,0.45,312.6,9.4,6.83,3
10.38,119.2,-8.68,0.16,-1.19,456.1,5.39,7.26,4
13.44,216.5,-6.3,-2.88,1.7,323.6,2.17,2.14,2
6.93,147.8,-6.91,0.74,-0.25,310.9,6.21,6.41,3
2.31,209.9,-5.95,-1.89,-0.27,125.6,8.29,12.41,1
5.89,160.7,-8.29,-2.73,1.15,140.8,7.28,8.05,1
10.19,212.1,-10.25,-2.23,1.63,494.0,5.72,2.6,4
7.04,235.1,-7.86,0.28,-0.02,346.2,6.87,13.37,2
8.9,189.4,-10.76,-0.38,1.09,223.6,5.94,12.5,1
2.77,124.6,-8.41,1.23,-1.42,430.9,8.32,12.98,4
1.27,242.7,-9.79,-2.47,-0.99,406.8,9.58,10.93,3
17.67,179.9,-5.93,1.15,0.77,183.9,1.02,7.86,1
2.48,135.9,-10.23,0.25,1.71,374.3,9.84,10.86,3
6.56,161.3,-8.15,-1.93,-1.53,336.3,6.19,8.67,2
13.62,208.2,-8.69,0.68,-1.46,288.6,3.42,0.08,2
17.05,240.3,-5.93,0.71,1.9,421.4,1.51,1.63,4
7.1,236.0,-7.63,-2.46,-1.64,125.6,5.86,1.53,1
13.39,121.0,-8.15,-1.67,-1.83,338.4,3.08,7.75,2
9.97,230.8,-7.42,0.19,0.13,213.0,4.95,9.74,2
1.97,188.5,-9.61,-1.1,-1.1,421.5,8.48,13.15,4
8.76,161.5,-7.87,0.83,-0.81,498.3,4.95,12.62,4
1.57,169.7,-8.9,-0.32,0.47,134.4,10.0,8.37,1
19.32,219.2,-10.35,1.28,-0.6,224.1,0.31,8.0,1
15.48,226.7,-6.25,-2.44,1.98,463.0,2.28,0.96,4
7.45,198.7,-8.84,0.67,-1.09,172.9,6.62,10.8,1
5.46,108.8,-9.33,-0.68,1.46,220.2,6.75,3.72,2
8.61,221.3,-11.0,-0.4,1.5,405.2,5.83,12.85,4
7.01,103.9,-10.77,-1.58,-0.25,514.1,5.7,3.1,4
8.05,158.2,-9.49,-1.65,1.99,312.0,6.21,9.75,3
18.46,166.6,-9.02,-2.05,-0.87,396.4,0.53,1.57,3
8.69,175.9,-6.81,-1.13,-1.64,381.1,4.82,6.91,3
15.09,138.4,-8.79,-1.81,0.27,278.3,3.05,2.09,2
3.98,162.9,-6.22,-2.05,-1.97,145.7,8.78,11.8,1
11.14,218.1,-7.48,1.81,-0.1,513.6,4.28,8.6,4
10.38,140.7,-8.9,-0.76,1.35,160.7,4.02,13.68,1
12.23,222.0,-10.06,0.39,-0.32,323.5,3.99,1.97,3
13.92,101.9,-10.99,-1.13,-1.18,209.4,3.43,11.99,2
17.36,121.4,-8.7,-0.15,-0.98,152.0,1.44,10.28,1
5.37,238.8,-8.56,-0.5,1.66,291.6,7.8,5.42,2
8.25,170.6,-8.82,0.06,0.65,433.8,4.92,0.25,4
2.09,107.6,-6.19,0.61,-1.35,211.6,8.64,10.3,1
12.86,191.6,-10.43,0.32,-0.15,317.2,3.56,1.37,3
18.76,168.4,-10.31,0.81,0.46,271.3,0.87,11.33,2
8.53,113.3,-9.6,-2.27,0.02,481.0,6.1,11.18,4
19.46,152.2,-7.92,-2.53,1.14,423.3,0.14,3.02,3
12.36,192.2,-6.64,-1.31,-1.97,418.6,4.0,13.52,4
5.01,194.2,-5.58,-0.59,-0.88,301.2,8.13,11.1,3
11.06,233.0,-9.4,-1.88,0.3,180.5,4.41,8.46,1
13.16,173.9,-10.23,0.87,0.16,123.5,4.84,10.29,1
13.66,115.7,-7.94,0.6,-1.58,286.2,3.31,6.56,2
13.12,117.0,-9.2,1.57,-1.3,305.9,3.13,1.3,3
4.6,162.5,-5.09,0.64,1.01,174.1,7.65,8.92,1
4.96,127.8,-10.76,-2.46,0.14,159.2,7.51,5.83,1
5.59,238.1,-9.85,0.32,0.56,124.3,6.88,13.7,1
14.93,131.8,-6.48,-0.94,1.27,370.7,2.73,0.89,3
10.49,156.5,-8.68,-1.7,0.34,272.1,4.43,2.25,2
13.75,176.9,-7.63,0.01,-0.74,111.1,3.53,12.6,1
16.19,149.6,-6.11,-1.49,0.09,501.9,2.68,6.82,4
11.72,199.7,-7.0,-0.35,-1.48,537.1,5.09,2.7,4
9.95,190.8,-7.38,-0.12,-0.91,192.4,4.9,4.38,1
8.65,240.9,-6.91,-0.35,0.62,394.5,5.04,1.07,3
11.19,224.8,-10.61,-2.95,-1.84,212.5,4.64,8.87,1
3.84,190.4,-10.41,-1.26,-2.0,540.5,8.82,12.88,4
15.94,167.0,-7.35,0.95,1.55,447.4,2.57,7.98,3
18.34,192.2,-8.79,-1.27,1.86,474.4,1.58,8.99,4
16.43,193.5,-5.03,-0.45,1.62,341.8,1.35,4.1,2
16.62,140.4,-6.08,-1.27,-1.14,354.5,1.8,9.92,3
16.76,126.7,-5.44,-2.0,1.02,509.4,1.51,12.81,4
4.34,177.9,-9.92,-2.0,-0.17,440.6,7.05,0.65,3
19.92,146.1,-7.25,0.74,-1.72,303.4,0.6,3.04,3
13.49,157.8,-10.83,0.14,1.18,238.2,2.93,13.11,1
9.0,100.2,-6.59,1.66,1.23,432.9,4.9,11.27,3
17.87,202.3,-10.75,-0.89,0.89,131.6,1.62,0.98,1
12.06,108.7,-6.96,0.18,1.99,362.0,4.04,3.26,3
19.88,210.3,-9.73,-0.66,1.97,419.3,0.28,5.11,4
15.29,131.2,-7.45,-0.63,-1.28,212.3,2.14,4.47,1
7.98,124.7,-9.34,1.27,1.18,216.8,5.38,0.72,1
15.11,190.1,-10.87,-0.73,0.64,232.3,2.7,2.39,1
14.87,247.5,-6.89,1.64,0.91,366.8,3.85,3.95,3
6.95,163.3,-8.31,0.1,1.96,394.9,7.38,2.14,3
17.8,230.4,-6.65,-2.57,1.35,226.7,0.85,11.58,1
3.67,109.3,-10.66,-2.66,-0.43,114.9,7.88,7.29,1
7.94,176.3,-7.82,1.91,1.75,318.8,5.25,3.1,3
13.09,202.3,-10.67,-1.0,1.5,222.8,3.51,11.87,1
10.1,156.3,-10.14,-0.06,0.82,266.9,5.29,10.65,2
13.88,119.4,-6.29,-0.84,1.75,520.6,3.62,5.41,4
19.95,102.3,-9.63,-2.21,-0.15,301.0,0.44,11.78,3
2.48,158.0,-10.44,-2.37,0.85,418.1,7.71,8.92,4
15.42,211.4,-10.15,-1.94,-1.98,155.9,1.48,8.73,1
16.53,248.6,-10.15,0.03,0.27,360.3,2.3,1.45,3
6.36,169.5,-5.94,-0.27,0.89,425.2,6.77,5.71,3
5.85,144.2,-7.46,-1.36,-0.47,477.0,7.5,1.0,4
9.39,152.0,-6.25,-2.78,1.47,337.8,5.16,5.61,2
8.48,113.8,-9.46,-1.38,-0.06,264.3,5.44,0.83,2
10.65,167.5,-7.24,-1.01,-0.87,311.0,4.35,2.7,3
5.02,194.1,-5.61,0.78,0.2,469.2,7.14,6.39,4
10.38,193.5,-7.8,0.69,1.62,462.2,5.46,8.65,4
16.44,101.9,-5.78,-1.89,0.73,282.9,1.46,2.53,2
17.77,195.1,-9.69,-1.86,1.8,296.3,0.77,1.15,2
13.67,199.9,-5.2,0.14,-0.21,109.8,3.6,12.23,1
6.47,175.3,-10.52,0.26,0.63,493.0,6.51,1.17,4
17.59,241.7,-6.43,-0.19,0.51,220.7,0.67,7.96,2
9.0,138.7,-9.79,-2.44,-1.04,265.3,5.44,11.08,2
5.4,227.8,-10.3,-1.57,0.98,334.0,6.56,2.35,2
3.56,126.1,-7.65,-2.84,-1.73,320.9,7.69,9.05,3
19.27,139.3,-9.1,0.81,0.3,132.1,0.14,10.23,1
2.67,130.7,-9.66,1.03,-1.29,264.0,9.49,9.9,2
11.07,232.8,-8.37,1.6,-1.25,110.0,3.96,0.72,1
4.84,219.0,-5.07,-2.56,1.92,243.7,8.21,8.98,2
17.5,167.6,-7.2,1.53,-0.46,112.5,1.25,2.2,1
4.7,156.7,-9.33,1.59,0.08,372.1,8.02,4.23,3
14.99,101.9,-5.08,1.99,0.66,486.4,2.47,13.0,4
4.14,205.3,-9.32,0.89,-0.01,512.6,7.43,0.73,4
18.82,244.7,-6.68,-1.69,0.9,338.6,0.43,12.06,2
13.6,216.8,-9.42,-1.68,-1.9,466.2,3.15,7.72,4
8.89,135.0,-6.35,0.44,0.71,394.5,5.59,0.44,3
19.29,139.7,-7.14,0.4,-0.7,410.0,0.35,10.56,4
10.96,163.4,-7.56,0.3,1.52,271.8,4.96,12.01,2
8.3,161.2,-8.25,-1.23,-1.43,230.6,5.38,6.41,1
4.09,134.9,-9.54,-0.4,-1.88,189.2,7.81,11.09,1
14.7,218.7,-7.34,-1.49,-1.76,356.9,2.5,12.75,3
12.33,217.9,-5.75,-0.02,0.09,414.3,4.08,7.96,4
5.23,206.0,-10.81,0.86,-1.14,275.3,7.38,12.83,2
5.75,100.7,-6.6,0.49,1.01,237.9,7.6,5.84,1
